runNum,gen,nevals,F.avg,F.max,F.min,F.nevals,F.std,S.avg,S.max,S.min,S.nevals,S.std
1,0,1000,3.88933,9.8,0.44,1000,2.91305,7.039,12,4,1000,3.46835
1,1,568,2.26701,10.36,0.44,568,1.83669,7.594,23,1,568,3.73646
1,2,552,1.80749,9.8,0.44,552,1.58867,7.802,23,1,552,3.85756
1,3,548,1.55724,9.35,0.44,548,1.3643,8.354,26,1,548,4.04187
1,4,543,1.5006,9.77,0.44,543,1.45855,8.718,29,1,543,4.29051
1,5,563,1.41058,9.32,0.44,563,1.37684,9.343,34,1,563,4.29061
1,6,558,1.3473,10.36,0.17,558,1.48183,10.541,27,1,558,4.17401
1,7,560,1.2676,9.4,0.17,560,1.53899,11.529,26,1,560,4.43702
1,8,560,1.03346,9.77,0.17,560,1.07452,11.62,44,1,560,4.45439
1,9,521,1.01726,9.4,0.17,521,1.17359,11.012,31,1,521,3.99047
1,10,570,1.02268,9.32,0.17,570,1.13453,10.918,45,1,570,4.27145
1,11,526,0.90457,9.32,0.17,526,0.968269,11.296,30,1,526,4.46681
1,12,538,0.92117,9.32,0.17,538,1.07497,11.726,31,1,538,4.85396
1,13,550,0.91983,9.32,0.17,550,1.05949,12.756,41,1,550,5.60771
1,14,570,0.87437,9.32,0.17,570,1.01182,13.894,40,1,570,6.05267
1,15,537,0.83891,8.36,0.17,537,0.91517,15.279,40,1,537,6.60675
1,16,527,0.79206,9.32,0.17,527,0.976395,16.696,46,1,527,6.82463
1,17,530,0.73113,9.32,0.17,530,0.991179,18.276,50,1,530,6.91172
1,18,522,0.62111,10.36,0.09,522,0.776527,19.682,49,1,522,7.07212
1,19,576,0.62689,9.32,0.09,576,1.00745,20.264,51,1,576,7.45857
1,20,553,0.5052,9.32,0.09,553,0.773499,20.135,56,1,553,8.20041
1,21,570,0.46292,9.32,0.09,570,0.802048,21.072,53,4,570,8.58701
1,22,550,0.41491,9.32,0.09,550,0.709899,21.941,70,1,550,9.63367
1,23,522,0.39126,5.93,0.09,522,0.639971,23.934,73,1,522,10.5472
