PS C:\Users\ilike\Desktop\Spring 2025\AI - CSCI\tree-based-gp-in-deap-el_josie_malena_grade_gp> & C:/Users/ilike/AppData/Local/Microsoft/WindowsApps/python3.11.exe "c:/Users/ilike/Desktop/Spring 2025/AI - CSCI/tree-based-gp-in-deap-el_josie_malena_grade_gp/grade.py"
                                    fitness                                           size
                ----------------------------------------------- -----------------------------------------------
gen     nevals  avg     gen     max     min     nevals  std     avg     gen     max     min     nevals  std    
0       1000    4.45615 0       10.57   0.48    1000    2.43232 6.791   0       12      4       1000    3.40255
1       553     3.08319 1       9.94    0.48    553     1.6697  7.377   1       23      1       553     3.70093
2       540     2.6226  2       9.07    0.48    540     1.47606 7.873   2       25      1       540     4.06828
3       543     2.4846  3       10.12   0.48    543     1.49449 8.499   3       23      1       543     4.13957
4       566     2.20248 4       9.07    0.48    566     1.32865 9.21    4       24      1       566     4.25534
5       537     1.92746 5       10.12   0.48    537     1.42903 10.352  5       27      1       537     4.43938
6       587     1.75206 6       12.03   0.33    587     1.61257 11.256  6       31      1       587     4.67808
7       562     1.62746 7       11.15   0.33    562     1.72866 12.095  7       35      1       562     5.39481
8       514     1.43831 8       10.12   0.33    514     1.69599 12.482  8       35      1       514     5.93125
9       555     1.51682 9       12.03   0.33    555     1.78785 12.704  9       45      1       555     6.59882
10      533     1.347   10      9.07    0.31    533     1.66192 13.57   10      49      1       533     7.90374
11      551     1.19442 11      9.07    0.13    551     1.547   15.84   11      49      1       551     9.72792
12      526     1.08206 12      8.99    0.28    526     1.49928 20.173  12      58      1       526     11.1736
13      521     0.84234 13      9.07    0.13    521     1.17896 25.336  13      69      1       521     11.6997
14      575     0.74099 14      9.07    0.28    575     1.04999 30.858  14      69      1       575     10.606 
15      532     0.67289 15      5.12    0.2     532     0.859432        32.728  15      67      1       532   10.3812
16      533     0.65719 16      9.07    0.2     533     0.961241        33.094  16      71      1       533   11.2696
17      535     0.66913 17      9.07    0.2     535     1.02363         33.055  17      71      1       535   12.1654
18      506     0.63419 18      9.07    0.2     506     0.979233        34.74   18      75      4       506   13.8261
19      546     0.67649 19      9.59    0.2     546     1.07769         38.047  19      80      4       546   14.8701
20      544     0.6917  20      9.94    0.2     544     1.12683         40.899  20      86      4       544   14.9976
21      528     0.49956 21      9.09    0.2     528     0.754314        43.28   21      96      9       528   14.7098
22      520     0.55753 22      10.43   0.2     520     0.996959        46.745  22      106     4       520   14.4689
23      532     0.4633  23      8.36    0.11    532     0.7666          49.343  23      110     1       532   13.5975
24      563     0.4865  24      8.36    0       563     0.890952        50.285  24      115     11      563   13.3069
25      552     0.4792  25      9.07    0       552     0.912214        50.555  25      115     1       552   13.9601
26      522     0.43143 26      8.36    0       522     0.810746        52.091  26      118     4       522   15.1873
