gen     nevals  avg     gen     max     min     nevals  std     avg     gen     max     min     nevals  std    
0       1000    4.29333 0       12.22   0.54    1000    3.53911 6.934   0       12      4       1000    3.44349
1       585     2.45535 1       11.33   0.54    585     2.33901 6.992   1       23      1       585     3.6851 
2       562     1.87014 2       11.23   0.54    562     1.94008 6.939   2       23      1       562     3.66487
3       550     1.84912 3       11.42   0.52    550     2.1028  7.397   3       24      1       550     3.94885
4       557     1.6961  4       11.75   0.52    557     2.04745 8.75    4       31      1       557     4.49394
5       569     1.68009 5       12.22   0.49    569     2.15582 10.608  5       37      1       569     4.74155
6       565     1.54176 6       12.14   0.3     565     2.15971 12.403  6       37      1       565     4.36699
7       524     1.24575 7       12.14   0.3     524     1.70517 13.696  7       37      1       524     4.48794
8       560     1.26491 8       12.22   0.26    560     1.79108 14.899  8       37      1       560     4.47759
9       555     1.19616 9       11.18   0.24    555     1.54471 15.735  9       44      1       555     4.98104
10      554     1.25484 10      10.76   0.18    554     1.61533 16.978  10      44      4       554     5.43116
11      557     1.18062 11      11.18   0.24    557     1.72298 18.015  11      47      1       557     5.88224
12      533     1.15294 12      11.24   0.24    533     1.66461 18.64   12      53      1       533     6.27028
13      575     1.07763 13      11.24   0.08    575     1.63077 18.828  13      52      1       575     5.92389
14      566     0.93691 14      11.24   0.08    566     1.37975 19.004  14      43      1       566     6.08342
15      529     0.87786 15      11.18   0.07    529     1.491   19.236  15      43      4       529     6.37733
16      526     0.76827 16      12.14   0.07    526     1.3617  18.912  16      46      1       526     6.50171
17      541     0.73302 17      11.42   0.07    541     1.37343 18.626  17      47      1       541     6.5518 
18      540     0.61815 18      11.24   0.07    540     1.12228 18.253  18      46      4       540     6.01839
19      551     0.64683 19      11.18   0.07    551     1.25646 18.227  19      46      1       551     5.61832
20      514     0.58497 20      11.24   0.07    514     1.19202 18.894  20      49      4       514     5.71233
21      510     0.56199 21      11.24   0.07    510     1.17674 19.524  21      49      1       510     6.04346
22      546     0.73127 22      11.75   0.02    546     1.75937 19.719  22      48      1       546     5.64978
23      557     0.63237 23      11.24   0.02    557     1.61665 20.478  23      45      1       557     5.79064
24      558     0.47698 24      11.24   0.02    558     1.21736 22.045  24      46      4       558     5.99508
25      524     0.38593 25      11.18   0.02    524     1.04505 23.345  25      61      1       524     6.63702
26      575     0.41219 26      11.18   0.01    575     1.07188 24.363  26      60      4       575     7.22033
27      574     0.45525 27      11.18   0.01    574     1.32176 25.073  27      60      1       574     6.93986
28      585     0.48544 28      11.18   0.01    585     1.47779 25.684  28      60      1       585     6.65388
29      560     0.49585 29      11.72   0.01    560     1.63777 26.624  29      58      1       560     6.51511
30      558     0.58579 30      11.24   0.01    558     1.85277 27.667  30      61      1       558     6.52366
31      570     0.46231 31      11.18   0.01    570     1.61516 28.386  31      54      4       570     6.45066
32      557     0.43085 32      11.49   0.01    557     1.52729 29.162  32      55      1       557     7.18149
33      540     0.45159 33      11.18   0.01    540     1.67241 30.324  33      69      4       540     7.59296
34      585     0.44087 34      11.18   0.01    585     1.50846 31.298  34      61      1       585     7.9107 
35      564     0.47064 35      11.18   0       564     1.61421 32.043  35      65      6       564     8.30826
36      560     0.52033 36      11.18   0       560     1.82605 32.992  36      71      1       560     9.12129
37      569     0.44799 37      11.24   0       569     1.57431 34.471  37      80      4       569     9.87639
38      492     0.41789 38      11.39   0       492     1.54143 35.972  38      80      1       492     11.0768
39      551     0.49669 39      11.42   0       551     1.81357 36.868  39      106     1       551     12.0297
40      562     0.45135 40      11.24   0       562     1.6598  38.607  40      106     1       562     12.9954
41      556     0.35851 41      11.18   0       556     1.31993 40.391  41      106     4       556     14.566 
42      548     0.44483 42      11.18   0       548     1.61901 41.763  42      116     9       548     15.2006
43      576     0.42801 43      11.18   0       576     1.58189 43.176  43      116     4       576     15.0853
44      549     0.40859 44      11.18   0       549     1.57362 44.335  44      115     4       549     15.5309
45      566     0.35179 45      11.18   0       566     1.29332 45.616  45      107     1       566     16.5447
46      575     0.35924 46      11.24   0       575     1.34801 46.13   46      107     4       575     17.0427
47      522     0.28081 47      11.24   0       522     1.21718 46.333  47      113     1       522     18.667 
48      559     0.35981 48      11.18   0       559     1.40732 47.88   48      135     1       559     20.654 
49      555     0.28597 49      11.24   0       555     1.22497 51.427  49      141     1       555     23.6145
50      549     0.395   50      11.18   0       549     1.56433 55.51   50      156     1       549     26.2061
51      536     0.27841 51      11.18   0       536     1.21574 59.493  51      176     4       536     26.3816
52      548     0.26015 52      11.18   0       548     1.19773 62.647  52      176     11      548     27.2646
53      578     0.30347 53      11.18   0       578     1.26246 64.472  53      176     1       578     26.9707
54      568     0.25012 54      11.24   0       568     1.19552 68.248  54      190     1       568     26.82  
55      565     0.24899 55      11.18   0       565     1.08295 70.816  55      197     1       565     26.5973
56      530     0.26162 56      11.24   0       530     1.35072 74.934  56      201     1       530     28.1102
57      540     0.22848 57      11.18   0       540     1.10546 77.406  57      201     1       540     30.0303
58      549     0.22963 58      11.24   0       549     1.16711 81.262  58      227     11      549     33.4912
59      572     0.16277 59      11.18   0       572     0.87556 82.976  59      227     11      572     33.7441
60      541     0.17865 60      11.18   0       541     0.97971 86.792  60      233     12      541     34.8684
61      595     0.16957 61      11.18   0       595     0.889918        88.457  61      241     1       595   36.6714
62      553     0.18477 62      11.18   0       553     1.02363         89.203  62      241     4       553   35.9936
63      562     0.19803 63      11.24   0       562     1.11871         91.6    63      240     4       562   37.9507
64      546     0.23364 64      11.2    0       546     1.25057         94.777  64      241     11      546   39.5652
65      568     0.17757 65      11.18   0       568     0.933326        96.694  65      241     1       568   41.2639
66      547     0.23346 66      11.24   0       547     1.26373         101.151 66      271     18      547   41.9495
67      562     0.20932 67      11.18   0       562     1.22497         103.814 67      243     1       562   42.5391
68      574     0.15067 68      11.18   0       574     0.905298        105.804 68      244     12      574   42.7575
69      579     0.21837 69      11.24   0       579     1.1323          107.295 69      357     11      579   43.9542
70      538     0.14066 70      11.18   0       538     0.783927        111.818 70      363     1       538   46.3347
71      595     0.22815 71      11.26   0       595     1.15236         114.555 71      363     1       595   47.7325
72      540     0.10625 72      10.67   0       540     0.683513        116.646 72      298     4       540   45.3891
73      528     0.10844 73      11.18   0       528     0.720123        121.632 73      298     11      528   46.9552
74      574     0.128   74      11.18   0       574     0.767804        121.419 74      300     1       574   46.6366
75      575     0.14145 75      11.18   0       575     0.913112        121.76  75      302     1       575   47.2258
76      553     0.17892 76      11.18   0       553     1.0471          122.854 76      298     4       553   48.6023
77      567     0.12773 77      8.06    0       567     0.699494        125.01  77      263     6       567   49.8068
78      542     0.10432 78      11.18   0       542     0.696592        127.062 78      263     12      542   50.6317
79      548     0.13235 79      11.18   0       548     0.810413        129.426 79      284     4       548   52.0684
80      596     0.10847 80      10.67   0       596     0.64087         127.002 80      284     4       596   52.7968
81      497     0.10492 81      11.24   0       497     0.711001        128.734 81      282     12      497   51.8519
82      549     0.16845 82      11.18   0       549     0.920584        132.004 82      279     1       549   51.9664
83      530     0.1083  83      11.23   0       530     0.710606        131.658 83      279     13      530   51.1431
84      570     0.12654 84      11.18   0       570     0.737053        134.081 84      332     1       570   52.6017
85      567     0.17821 85      11.18   0       567     0.977929        135.77  85      377     11      567   52.3617
86      535     0.10548 86      11.18   0       535     0.771906        138.321 86      377     13      535   55.104
87      519     0.13359 87      11.18   0       519     0.845349        140.522 87      377     11      519   56.8181
88      503     0.09473 88      10.67   0       503     0.637537        145.084 88      377     1       503   58.6403
89      555     0.09355 89      10.67   0       555     0.65884         146.07  89      380     11      555   59.2883
90      520     0.14965 90      11.2    0       520     0.948138        146.521 90      380     1       520   62.3383
